tweet_id,text,text_clean,word_count,gold_intent,gold_escalation,gold_reason,annotator_notes
729023,@115850 who is responsible for dlvry of “a fulfilled items”? as I haven’t received the order n ur CC says it’s fault of 3rd party courier,who is responsible for dlvry of “a fulfilled items”? as I haven’t received the order n ur CC says it’s fault of 3rd party courier,25,DELIVERY_FAILURE,ESCALATE,Order was not received and courier responsibility is disputed; shipment investigation is required.,
842170,@AmazonHelp Because that makes no sense,Because that makes no sense,5,OTHER,AUTO_HANDLE,Pure reaction to a previous response; no actionable issue is stated.,
121148,"@116935 Best deal in the interwebs. I’ve had it for several months, saves me a ton of dough from buying albums. Also, I listen to hundreds I never woulda bought anyway.","Best deal in the interwebs. I’ve had it for several months, saves me a ton of dough from buying albums. Also, I listen to hundreds I never woulda bought anyway.",30,PRIME,AUTO_HANDLE,Positive/commentary message about the value of the Prime service.,
255094,Hey @116618 why can’t I stream in hd with over 12mbs down and the settings for quality on best?,Hey why can’t I stream in hd with over 12mbs down and the settings for quality on best?,18,TECHNICAL,AUTO_HANDLE,Customer cannot stream in HD despite sufficient bandwidth and quality settings.,
1050392,@368236 @115830 I’ve found my definitions of shipping times differs from those of Amazon. This is especially true for preordered items.,I’ve found my definitions of shipping times differs from those of Amazon. This is especially true for preordered items.,19,DELIVERY_DELAY,AUTO_HANDLE,"Complaint about shipping-time expectations, particularly for pre-orders.",
2774138,@115850 tomorrow I will file a case in Delhi court against  Order # 405-7739204-775556. Be ready,tomorrow I will file a case in Delhi court against Order # 405-7739204-775556. Be ready,15,SUPPORT_COMPLAINT,ESCALATE,Explicit legal threat concerning a specific order; consequential and high-risk escalation.,
2069828,"@AmazonHelp Yeah, make it so I can buy pantry items individually. No reason for this to be pantry only. https://t.co/TlXZE5fAEG","Yeah, make it so I can buy pantry items individually. No reason for this to be pantry only.",18,ORDER_PRODUCT,AUTO_HANDLE,Customer requests a change to how pantry products can be purchased.,
323292,@AmazonHelp Je les ai toutes vu perso deux fois une fois en vostfr et une fois en vf,Je les ai toutes vu perso deux fois une fois en vostfr et une fois en vf,17,DIGITAL_CONTENT,AUTO_HANDLE,Commentary about watching content in different language versions; no support action requested.,
425053,@AmazonHelp Refunded HALF the order but no other insight. It’s still “wait until Wednesday” I guess there’s no point in being a Prime member if my packages don’t come on time.,Refunded HALF the order but no other insight. It’s still “wait until Wednesday” I guess there’s no point in being a Prime member if my packages don’t come on time.,30,REFUND,ESCALATE,Only part of the order was refunded; financial and order-specific investigation is required.,
1380607,I love how twitch’s amazon store lets you pay extra for shipping for 2 - 3 days but then still says my order will be a week later 🙃,I love how twitch’s amazon store lets you pay extra for shipping for 2 - 3 days but then still says my order will be a week later 🙃,29,DELIVERY_DELAY,ESCALATE,Customer paid for faster shipping but the order still shows a later delivery date.,
1145003,"@AmazonHelp im sorry, Sold by iTekLife Global and Fulfilled by Amazon.","im sorry, Sold by iTekLife Global and Fulfilled by Amazon.",10,ORDER_PRODUCT,AUTO_HANDLE,Provides seller and fulfillment information in response to a previous support interaction; no standalone issue.,
89225,"Allez hop, direction @120533. Faisons-nous plaisir. https://t.co/zvNoZt5lll","Allez hop, direction . Faisons-nous plaisir.",6,OTHER,AUTO_HANDLE,Non-support social/commentary message.,
2768262,bonjours @AmazonHelp  je parle de vous dans ma derniere videos elle sort cette aprem soyer attentif 😁😁,bonjours je parle de vous dans ma derniere videos elle sort cette aprem soyer attentif 😁😁,16,OTHER,AUTO_HANDLE,Promotional/commentary message with no support request.,
947272,"@115850 Same issues and same support (no support)from ur contact centre, get into logs related to my queries.","Same issues and same support (no support)from ur contact centre, get into logs related to my queries.",17,SUPPORT_COMPLAINT,ESCALATE,Customer reports repeated support failure and asks for query logs.,
1328913,"@AmazonHelp Hey, I got an email finally showing me where to send these emails to. I appreciate the help. Now time to crack down. :-)","Hey, I got an email finally showing me where to send these emails to. I appreciate the help. Now time to crack down. :-)",24,OTHER,AUTO_HANDLE,Customer confirms receiving the requested information and expresses appreciation; issue is effectively resolved.,
2429453,@AmazonHelp Bonsoir en fait avant de laisser les clients subir il faudrait mieux sélectionner vos vendeurs et services de livraison,Bonsoir en fait avant de laisser les clients subir il faudrait mieux sélectionner vos vendeurs et services de livraison,19,SUPPORT_COMPLAINT,ESCALATE,Complaint about seller and delivery-service quality requiring support attention.,
2410474,@116875 SOS Mi cuenta está bloqueada y mi pedido en espera. Esto significa que mi pedido no me llegará en la fecha esperada? ): #SuperSad,SOS Mi cuenta está bloqueada y mi pedido en espera. Esto significa que mi pedido no me llegará en la fecha esperada? ): #SuperSad,24,DELIVERY_DELAY,ESCALATE,"Account is blocked while an order is pending, creating uncertainty about expected delivery.",
745054,@AmazonHelp https://t.co/r36ZS6leOZ it was this here sold by Smart Shop Online. Was prime delivery doesn't seem to be anymore though I also mailed them.,it was this here sold by Smart Shop Online. Was prime delivery doesn't seem to be anymore though I also mailed them.,22,ORDER_PRODUCT,ESCALATE,Prime delivery status for a specific product appears to have changed and requires product/order-specific investigation.,
287905,"@AmazonHelp As I mentioned, I have followed all those steps, but no revert back. What is the SLA to reply for simple query or even acknowledgment?","As I mentioned, I have followed all those steps, but no revert back. What is the SLA to reply for simple query or even acknowledgment?",25,SUPPORT_COMPLAINT,ESCALATE,Previous steps were followed but there was no response or acknowledgment; customer asks about the support SLA.,
181153,"@AmazonHelp I tried to translate into German, but they do not say the reason for the lock.","I tried to translate into German, but they do not say the reason for the lock.",16,OTHER,ESCALATE,A lock is mentioned but the underlying issue cannot be confidently determined from this message alone.,
2072980,@AmazonHelp ele entrou em contato comigo. marcamos de nos encontrar em um lugar público pra ele me repassar a encomenda.,ele entrou em contato comigo. marcamos de nos encontrar em um lugar público pra ele me repassar a encomenda.,19,DELIVERY_FAILURE,ESCALATE,Unusual package handoff arrangement indicates a delivery problem requiring investigation.,
535164,"@115850 @115821 I got a product delivered today in a bad shape, not sealed and badly handled. I am not sure the phone is new one or refurbished one. Highly disappointing. Ordered replacement, hope they send a good one. https://t.co/LKQiRpVeXM","I got a product delivered today in a bad shape, not sealed and badly handled. I am not sure the phone is new one or refurbished one. Highly disappointing. Ordered replacement, hope they send a good one.",37,DELIVERY_FAILURE,ESCALATE,"Product arrived damaged and unsealed, with uncertainty about whether it is new or refurbished; replacement investigation required.",
2741835,Accidently canceled the order. Rescue me . Please @115850,Accidently canceled the order. Rescue me . Please,8,ORDER_CHANGE,ESCALATE,Customer accidentally cancelled an order and wants it recovered or reinstated.,
230829,"全然Amazonの荷物届かないよ…
いつまで待ったらいいんた…📦",全然Amazonの荷物届かないよ… いつまで待ったらいいんた…📦,2,DELIVERY_DELAY,ESCALATE,Customer says the package has not arrived and asks how long they must wait.,
2551067,"@AmazonHelp @115821 You are good at telling lies, not at fixing issues.
My account is still useless, tried loading my gift card, order rejected... Stop talking about these ""specialists"" they are incompetent. https://t.co/I327ny7rzz","You are good at telling lies, not at fixing issues. My account is still useless, tried loading my gift card, order rejected... Stop talking about these ""specialists"" they are incompetent.",30,PAYMENT,ESCALATE,Gift-card loading and order payment are being rejected; account/payment-specific investigation is required.,
149219,"@AmazonHelp Super lange Geschichte, passt nicht in 240 Zeichen... Aber ich sag nur so viel beim Media Markt oder so wäre ich einmal hingegangen, hätte ein Ersatzgerät bekommen und hätte 30 min gebraucht. Bei euch Brauch ich in diesen Fall insgesamt bestimmt 8h 🙄","Super lange Geschichte, passt nicht in 240 Zeichen... Aber ich sag nur so viel beim Media Markt oder so wäre ich einmal hingegangen, hätte ein Ersatzgerät bekommen und hätte 30 min gebraucht. Bei euch Brauch ich in diesen Fall insgesamt bestimmt 8h 🙄",43,SUPPORT_COMPLAINT,ESCALATE,Customer reports an extremely long and frustrating support process for a replacement.,
311574,@AmazonHelp Thanks..  It helped,Thanks.. It helped,3,OTHER,AUTO_HANDLE,Customer says the previous help worked; issue is resolved.,
676916,@AmazonHelp the carrier was ontrac,the carrier was ontrac,4,DELIVERY_TRACKING,AUTO_HANDLE,Customer provides the carrier name in response to support; no new actionable problem is stated.,
1137938,"@132994 @120692 @115850 Bought  #OnePlus5   with 128GB space   on 8th October but next day offers change and offering more discount and freebies, feeling cheated 😚","Bought #OnePlus5 with 128GB space on 8th October but next day offers change and offering more discount and freebies, feeling cheated 😚",22,ORDER_PRODUCT,ESCALATE,Customer feels cheated because product pricing and promotions changed immediately after purchase.,
2870625,"@AmazonHelp PLEASE  I PAY FOR PRIME. NOTHING, NOTHING IS EVER ON TIME LIARS","PLEASE I PAY FOR PRIME. NOTHING, NOTHING IS EVER ON TIME LIARS",12,DELIVERY_DELAY,ESCALATE,Prime customer complains that deliveries are repeatedly late.,
290449,"Hey @AmazonHelp, waiting on a parcel being delivered to work. Leave for weekend in about an hour. Can you help give an update?","Hey , waiting on a parcel being delivered to work. Leave for weekend in about an hour. Can you help give an update?",23,DELIVERY_TRACKING,ESCALATE,Customer is waiting for a parcel and requests an immediate delivery update.,
470840,"Bonjour @115821, j’ai reçu ce mail. Après avoir appelé le service client il s’avère que la commande est annulée et que je ne pourrais profiter du tarif avantageux. Votre ligne fax est indisponible, que dois-je faire ?? https://t.co/gTU28BDiti","Bonjour , j’ai reçu ce mail. Après avoir appelé le service client il s’avère que la commande est annulée et que je ne pourrais profiter du tarif avantageux. Votre ligne fax est indisponible, que dois-je faire ??",37,ORDER_CHANGE,ESCALATE,Order was cancelled and customer asks what to do to retain the advantageous price; order-specific resolution is required.,
1506840,Amazonのページだけなんか重い。ページにウイルスでも仕込まれてるんじゃないかって心配になるレベル,Amazonのページだけなんか重い。ページにウイルスでも仕込まれてるんじゃないかって心配になるレベル,1,TECHNICAL,ESCALATE,Amazon's website appears unusually slow and the customer raises a possible security concern.,
2958620,It's almost 8pm. The status page for my @122232 delivery still says that my @115830 delivery is arriving today. Does anyone want to take a bet that it'll be a no show? https://t.co/iSotLjItHG,It's almost 8pm. The status page for my delivery still says that my delivery is arriving today. Does anyone want to take a bet that it'll be a no show?,30,DELIVERY_DELAY,ESCALATE,Delivery is still marked for today near the end of the day and the customer expects a no-show.,
25261,@115850 I am a Prime customer. Is Amazon Video free for me or do I still need to pay some monthly subscription charges?,I am a Prime customer. Is Amazon Video free for me or do I still need to pay some monthly subscription charges?,22,PRIME,AUTO_HANDLE,Informational question about whether Amazon Video is included with Prime or requires another subscription.,
384537,@AmazonHelp Certainly are. It literally will not allow me to check out with them in my basket,Certainly are. It literally will not allow me to check out with them in my basket,16,ORDER_PRODUCT,AUTO_HANDLE,Customer cannot check out items in the basket; product purchase issue without an explicit payment failure.,
1560589,"@AmazonHelp How is that helpful? It’s gone to a locker, it says it’s delivered. I literally just need the collection code email!","How is that helpful? It’s gone to a locker, it says it’s delivered. I literally just need the collection code email!",21,DELIVERY_TRACKING,ESCALATE,Package is marked delivered to a locker but the customer has not received the collection code.,
833942,@119625 1/2 Please change your PS4 app. I love your content but rewinding and fastforwading is so difficult.,1/2 Please change your PS4 app. I love your content but rewinding and fastforwading is so difficult.,17,TECHNICAL,AUTO_HANDLE,Customer reports difficulty rewinding and fast-forwarding in the PS4 app.,
629631,"@AmazonHelp Nein, Ich habe mich entschieden nochmal bis Freitag zu warten, da ich von mehreren Leuten hörte das es wohl allgemein Grade Lieferschwierigkeiten geben soll.

Warscheinlich durch den Cyber Monday in Zusammenhang mit dem kommenden Weihnachtsgeschäft nehme ich an...","Nein, Ich habe mich entschieden nochmal bis Freitag zu warten, da ich von mehreren Leuten hörte das es wohl allgemein Grade Lieferschwierigkeiten geben soll. Warscheinlich durch den Cyber Monday in Zusammenhang mit dem kommenden Weihnachtsgeschäft nehme ich an...",38,DELIVERY_DELAY,AUTO_HANDLE,Customer acknowledges general delivery difficulties and chooses to wait until Friday.,
792095,"@AmazonHelp I'll keep an eye on it, I just hope it's not going to affect my credit rating...","I'll keep an eye on it, I just hope it's not going to affect my credit rating...",17,PAYMENT,ESCALATE,Customer is concerned the unresolved issue could affect their credit rating; financial consequences require escalation.,
2733901,"@115821 I live in Indianapolis, not that far from where my order is....how is it logistically possible to do this? And the main question is why? https://t.co/EweZBHtIG9","I live in Indianapolis, not that far from where my order is....how is it logistically possible to do this? And the main question is why?",25,DELIVERY_FAILURE,ESCALATE,Customer questions unexpected logistics surrounding an order; order-specific investigation is required.,
1557714,@AmazonHelp merci de prendre en compte que le client il a pas envie d'être en galère pour récupérer un simple colis.,merci de prendre en compte que le client il a pas envie d'être en galère pour récupérer un simple colis.,20,DELIVERY_FAILURE,ESCALATE,Customer complains about difficulty recovering a package.,
975699,ずっと家にいるのにAmazonさんの配達案内が配達できませんでした。配達店で保管中ってなってるσ(￣＾￣)？ポストに不在届も入ってないし？私の荷物どこいった？このあと来るのかな？,ずっと家にいるのにAmazonさんの配達案内が配達できませんでした。配達店で保管中ってなってるσ(￣＾￣)？ポストに不在届も入ってないし？私の荷物どこいった？このあと来るのかな？,1,DELIVERY_FAILURE,ESCALATE,Delivery was marked unsuccessful despite the customer being home; package location is unclear.,
793818,@AmazonHelp Sigo esperando su respuesta. Gracias de antemano,Sigo esperando su respuesta. Gracias de antemano,7,SUPPORT_COMPLAINT,ESCALATE,Customer is still waiting for a response from support.,
836887,@AmazonHelp Nothing except the golden day deal.,Nothing except the golden day deal.,6,OTHER,AUTO_HANDLE,Short contextual statement with no actionable support request.,
2111167,@AmazonHelp have spoken with Amazon contact centre to re-schedule the 2nd failed delivery.  How can I ensure driver calls me if he has propb finding me?,have spoken with Amazon contact centre to re-schedule the 2nd failed delivery. How can I ensure driver calls me if he has propb finding me?,25,DELIVERY_FAILURE,ESCALATE,Second delivery attempt has failed; customer wants to ensure the driver can reach them.,
2074021,"@AmazonHelp 電話のブロックを確認次第解除しますと言われてから１週間たちますが連絡が来ず
メールも１週間以上経ちますが返事が来ず迷惑メールに振り分けられてるわけでもありません
Amazonメールは普通に来るのでこちら側の設定ではないと思うのですがどうすればいいでしょうか",電話のブロックを確認次第解除しますと言われてから１週間たちますが連絡が来ず メールも１週間以上経ちますが返事が来ず迷惑メールに振り分けられてるわけでもありません Amazonメールは普通に来るのでこちら側の設定ではないと思うのですがどうすればいいでしょうか,3,SUPPORT_COMPLAINT,ESCALATE,Customer has waited a week for promised phone/email contact and asks what to do.,
1100553,"#BlackFriday dónde voy a encontrar el DVD de #Supernatural a 12 lucas en Chile? En ningún lado!, aquí lo venden a 50 lucas.  Y ojo más gastos de envío, xq el DVD sale 7 lucas. Gracias una vez más @115821 ❤","#BlackFriday dónde voy a encontrar el DVD de #Supernatural a 12 lucas en Chile? En ningún lado!, aquí lo venden a 50 lucas. Y ojo más gastos de envío, xq el DVD sale 7 lucas. Gracias una vez más ❤",40,ORDER_PRODUCT,AUTO_HANDLE,Customer comments on a product's high price and shipping cost without requesting a specific support action.,
975729,@AmazonHelp But there are not change na....u may put a sake name seller but ur the marketer ur responsible for price,But there are not change na....u may put a sake name seller but ur the marketer ur responsible for price,20,ORDER_PRODUCT,ESCALATE,Customer disputes marketplace/seller pricing responsibility and requests accountability.,
807350,Inquired many times no response. Why do I get this message when I try to sell? I do not have any seller account @115850 https://t.co/FF6pEngrqm,Inquired many times no response. Why do I get this message when I try to sell? I do not have any seller account,23,OTHER,ESCALATE,Customer reports receiving a selling-related message despite saying they do not have a seller account; underlying issue is unclear and requires investigation.,
2641334,@AmazonHelp When will you announce the results.. after every one forgot about the game??,When will you announce the results.. after every one forgot about the game??,13,OTHER,AUTO_HANDLE,Informational question about when results of a game or contest will be announced.,
984115,@115821 We want to add Arabic language in the site and application to make it easier for us to complete the purchases easily without,We want to add Arabic language in the site and application to make it easier for us to complete the purchases easily without,23,OTHER,AUTO_HANDLE,Feature/language request for the Amazon site and app; no defined taxonomy category applies.,
1209042,@AmazonHelp You're providing worst Email and Call support in India. People are hanging up phone without any notification. If we ask something then they didn't listen. Not replacing my defective phone. Worst support in India,You're providing worst Email and Call support in India. People are hanging up phone without any notification. If we ask something then they didn't listen. Not replacing my defective phone. Worst support in India,34,SUPPORT_COMPLAINT,ESCALATE,Strong complaint about support and failure to replace a defective phone.,
842234,@AmazonHelp Je n'ai pas bougé ;),Je n'ai pas bougé ;),5,OTHER,AUTO_HANDLE,Simple conversational response with no actionable issue.,
1622175,"@AmazonHelp Delivery date doesn't matter: if it doesn't fit in the mailbox, post office won't deliver. Supposed to be delivered by today, which is what everything points to.","Delivery date doesn't matter: if it doesn't fit in the mailbox, post office won't deliver. Supposed to be delivered by today, which is what everything points to.",27,DELIVERY_DELAY,ESCALATE,Delivery is expected today but there is a concern it cannot physically fit in the mailbox.,
1409074,@AmazonHelp But the price is too high than its MRP. It's illegal. Please check with seller why he is violating the rule.,But the price is too high than its MRP. It's illegal. Please check with seller why he is violating the rule.,21,ORDER_PRODUCT,ESCALATE,Customer alleges a seller is charging above MRP and requests investigation.,
420447,@AmazonHelp You may contact me at +91 9029558838,You may contact me at +91 9029558838,7,OTHER,AUTO_HANDLE,Customer merely provides contact information; no explicit issue is stated.,
2612267,@AmazonHelp If you followed up I received late a day #I paid for next day Total failure on customer service and absolutely NO Follow UP #,If you followed up I received late a day #I paid for next day Total failure on customer service and absolutely NO Follow UP #,25,DELIVERY_DELAY,ESCALATE,Customer paid for next-day delivery but received it late and complains about lack of follow-up.,
2985519,@115821 has the best customer service! Thank you for valuing me as a customer 💛 https://t.co/RLLiYy1kbT,has the best customer service! Thank you for valuing me as a customer 💛,14,OTHER,AUTO_HANDLE,Positive customer-service compliment with no support request.,
2877043,"The look on @225394 face when she opened her birthday package I ordered from @115821 and it was EMPTY, her face left me traumatized.","The look on face when she opened her birthday package I ordered from and it was EMPTY, her face left me traumatized.",22,DELIVERY_FAILURE,ESCALATE,Birthday package arrived empty; missing contents require order/delivery investigation.,
2939013,@AmazonHelp @812327 Mi è sembrato di vedere un gatto (cit.),Mi è sembrato di vedere un gatto (cit.),8,OTHER,AUTO_HANDLE,Casual commentary with no support request.,
985097,@115821 Ok do it on urgent basis two order from Lipika Roy account last four numbers are 1927 and 3928..,Ok do it on urgent basis two order from Lipika Roy account last four numbers are 1927 and 3928..,19,OTHER,ESCALATE,"Customer requests urgent action on specific orders, but the underlying issue is not stated.",
331237,@AmazonHelp I want to watch blade runner,I want to watch blade runner,6,DIGITAL_CONTENT,AUTO_HANDLE,Customer wants to watch a specific movie; content availability or access question.,
693873,@AmazonHelp It's actually on Amazon Germany so that link doesn't help 😉 The expected delivery date was yesterday. The slight delay is okay but I don't understand why it's apparently in the US when it was in Germany yesterday and is coming to Switzerland?,It's actually on Amazon Germany so that link doesn't help 😉 The expected delivery date was yesterday. The slight delay is okay but I don't understand why it's apparently in the US when it was in Germany yesterday and is coming to Switzerland?,43,DELIVERY_TRACKING,ESCALATE,Shipment location appears inconsistent with the expected route and delivery is already late.,
812374,"Amazon told me my items are coming on Monday which I was happy with. Amazon app just sent me a notification that everything is coming today instead. 

I swear it’s the small things that really make your day. I love you @115821 😭😭😭",Amazon told me my items are coming on Monday which I was happy with. Amazon app just sent me a notification that everything is coming today instead. I swear it’s the small things that really make your day. I love you 😭😭😭,42,DELIVERY_DELAY,AUTO_HANDLE,Delivery date changed to earlier than expected and the customer is pleased with the update.,
279369,@AmazonHelp Thanks ...request you to please expedite the process that will really b helpful... thanks,Thanks ...request you to please expedite the process that will really b helpful... thanks,14,OTHER,ESCALATE,"Customer asks to expedite an ongoing process, but the underlying support issue is not stated.",
2680825,@AmazonHelp I don’t want to return. I want it. And I want it on time. It’s my sons first Halloween. That’s why I pay for prime and then paid 1 day ship,I don’t want to return. I want it. And I want it on time. It’s my sons first Halloween. That’s why I pay for prime and then paid 1 day ship,31,DELIVERY_DELAY,ESCALATE,Customer paid for Prime and one-day shipping but wants the order delivered on time.,
348550,@AmazonHelp Great to see such a fast response,Great to see such a fast response,7,OTHER,AUTO_HANDLE,Positive acknowledgment of a fast support response.,
2604933,"@AmazonHelp I spoke with rep. again, and all they have said is that they've begun an investigation and I can hear back from them in 3-5 business days. This is extremely disappointing. I'd be grateful if you could expedite the process. Order #: 404-2925739-5193901","I spoke with rep. again, and all they have said is that they've begun an investigation and I can hear back from them in 3-5 business days. This is extremely disappointing. I'd be grateful if you could expedite the process. Order #: 404-2925739-5193901",43,SUPPORT_COMPLAINT,ESCALATE,Existing investigation has a 3–5 day response period and customer requests expedited handling.,
2390428,"@AmazonHelp Suma y sigue, comprado ayer por la noche, que pasada de rapidez.... 👍🏻 https://t.co/21SdnjGjcQ","Suma y sigue, comprado ayer por la noche, que pasada de rapidez.... 👍🏻",13,OTHER,AUTO_HANDLE,Positive commentary about fast delivery with no support request.,
2679212,@115821 quero resposta,quero resposta,2,SUPPORT_COMPLAINT,ESCALATE,"Customer explicitly asks for a response, but the underlying issue is not stated.",
1433644,@115850 Now I have placed order again but this time I will have pay ₹100/more for the mistake which was not mine but by delivery boy. https://t.co/6juUHXFMIZ,Now I have placed order again but this time I will have pay ₹100/more for the mistake which was not mine but by delivery boy.,25,DELIVERY_FAILURE,ESCALATE,Customer attributes the need to reorder and additional cost to a delivery driver's mistake.,
914147,"@AmazonHelp what reply u expect.
22 days have passed but i'm waiting...
#unhappinessguaranteed",what reply u expect. 22 days have passed but i'm waiting... #unhappinessguaranteed,12,SUPPORT_COMPLAINT,ESCALATE,Customer has waited 22 days and is demanding a response or resolution.,
994227,Hey @115821 : nice delivery. 🙄 https://t.co/NJ5bvkYs66,Hey : nice delivery. 🙄,5,DELIVERY_FAILURE,AUTO_HANDLE,Sarcastic comment about poor delivery with no explicit request for intervention.,
