query_index,query_tweet_id,gold_intent,query_text,rank,similarity,retrieved_customer_tweet_id,retrieved_agent_tweet_id,retrieved_customer_text,retrieved_agent_response
10,150530,DIGITAL_CONTENT,"@115825 Wie lang kann ich die Filme denn ansehen, nachdem ich sie ausgeliehen habe? Nur 48h?",1,0.7200877666473389,952550,952548,@115825 Kommen eigentlich auch mal Bollywood Filme? :),@345994 Ich setze sie gerne auf die Wunschliste. Gibts irgendwelche Lieblingsfilme? ^BL
11,2971969,SUPPORT_COMPLAINT,"@AmazonHelp No I did that yesterday. I am not doing that anymore. I can't do this anymore. I am exhausted. I just came from work and class, Why did I want to waste my time with a customer service person who is going to tell me the same thing that your website tells me.",1,0.7572602033615112,495873,495874,@AmazonHelp NO i will never do that all customer have to know that how are you working,@231112 This being social media platform we don't have access to your account details. Kindly share your details here: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK
12,2089264,OTHER,@AmazonHelp Already sorted with help desk but you have a loooooooooong way to go before you can think manage when you come to Aus.,1,0.7319521307945251,2622579,2622580,"@AmazonHelp Already got it sorted, thanks 👏🏻",@740922 No problem! We are alway here to help! ^LS
13,2474828,OTHER,@AmazonHelp résolu pour 1 sur 2 car le vendeur français vient d'appeler.,1,0.7632064819335938,1108198,1108196,@AmazonHelp Non je n’ai pas encore appelé ! Vous êtes le premier chez Amazon que je contacte.,@381546 Nous tenons à regarder cela de plus près et vous aidez. S’il vous plaît contactez-nous ici: https://t.co/hgIrz98cdI ^BR
14,2033234,ORDER_PRODUCT,@AmazonHelp ‘Nothing we can do as they are all sold out now’ I pre-ordered this months ago in order to get the Scorpio addition. What’s the point in pre-ordering with you if it’s a risk weather you’ll actually get it?!?,1,0.7939399480819702,1772289,1772287,"Preordered my @115786 scorpio from @115821, but won't be getting it today. Bummer. Why is it coming late? Why bother pre-ordering?",@169063 I'm sorry for the delay. Have you received a new delivery date? You can find the information here: https://t.co/Y5jpI9gRhE ^SE
15,2930736,ORDER_CHANGE,"@AmazonHelp  I wanted to order phone with another address , but I forgot to mentioned that address and ordered ..Could u help me to Change order ? It will be great if u can do ..I spoke to cc but they said not available now change",1,0.7986787557601929,1027501,1027500,@AmazonHelp Hi. I have given the wrong address by mistake while placing an order yesterday. And I'm not able to change it. Please assist.,@363138 We'd love to help out! Can you please let us know which site you purchased from? ^AC
16,1262588,ORDER_CHANGE,@AmazonHelp I’ve clicked thru 50 common items and things I’ve orders before. Only options are 2 day,1,0.7454224228858948,2819160,2819162,@AmazonHelp are you an idiot or what 5 different Orders everytime there is an issue how many times you want me to fill the details,@226929 link provided earlier and we'll reach out to you soon. Appreciate your understanding and cooperation in this regard. 2/2 ^EM
17,1474641,DELIVERY_FAILURE,@AmazonHelp didnt like the delivery driver today who didn’t want to come up the stairs to start and then when did threw my parcel at my door,1,0.8493319749832153,441035,441034,@AmazonHelp I've talked to customer service about a delivery driver not seeming to care whether my parcel was delivered to me. They made a complaint.,@219634 Please keep us posted on this! ^LB
18,1367395,DELIVERY_FAILURE,@118919 It is very sad and disgusting . None.. Amazon flipcart none are delivering to DARJEELING  hill. Feels isolated,1,0.6589033603668213,231325,231324,@118919 @115850 Thanks to Amazon that it is only making delivery in my remote village under Campierganj Block of Gorakhpur ( UP) .,@171092 You're welcome. :) ^HR
19,1355352,OTHER,"@AmazonHelp Danke, da es auf der Xbox geht ist es wohl nichts rechtliches. Immerhin.",1,0.7412903308868408,529962,529963,@AmazonHelp Das es zurück geht. Es ist gar nicht erst rausgegangen.,@242727 Hast du schon mal meine Kollegen vom Kundenservice da drüber schauen lassen? ^MS
20,729023,DELIVERY_FAILURE,@115850 who is responsible for dlvry of “a fulfilled items”? as I haven’t received the order n ur CC says it’s fault of 3rd party courier,1,0.7621262073516846,229825,229823,"@115850 There is a fault from your side,Your courier person not communicating the reality. If my order got lost or damaged in courier 2\n",@170768 I'm sorry for the trouble you are facing. Please fill this form: https://t.co/beaaDm0muc and we;ll get back to you soon. ^SI
21,842170,OTHER,@AmazonHelp Because that makes no sense,1,0.9193888902664185,2291182,2291183,@AmazonHelp Why?,@665473 There may also be technical or licensing reasons why we're unable to deliver a product to a particular country. You'll find more information about where the various product groups can be sent to here: https://t.co/JRnvCUoFCz ^SK
22,121148,PRIME,"@116935 Best deal in the interwebs. I’ve had it for several months, saves me a ton of dough from buying albums. Also, I listen to hundreds I never woulda bought anyway.",1,0.7140522599220276,564946,564945,"@252355 i signed up for the 99 cents for 3 months trial for amazon music unlimited, imma forget","@252354 You may disable the renewal from your Amazon Music Settings: https://t.co/AdQpdbZyXl Select ""Do Not Continue After Trial."" I hope this helps! ^SJ"
23,255094,TECHNICAL,Hey @116618 why can’t I stream in hd with over 12mbs down and the settings for quality on best?,1,0.741349458694458,1141959,1141957,"@119625 Hi, Why I can't stream in HD on my laptop, when it meets all the system requirements ?",@350056 That's strange.  Could you confirm whether your internet speed is more than 3.5 Mbits/sec ? ^RI
24,1050392,DELIVERY_DELAY,@368236 @115830 I’ve found my definitions of shipping times differs from those of Amazon. This is especially true for preordered items.,1,0.7589706182479858,2902588,2902587,"@115830 @30934 Amazon still have given no delivery estimation... And it is not because I live in remote Scotland... postage times here are much the same. You obviously didn't order enough to fulfil pre-orders considering popularity of #DnD #these days.
I am very very annoyed!","@222172 I'm sorry for the delay! If you'd like to reach us with questions, you can do so here, since we cannot access accounts or orders via Twitter: https://t.co/JzP7hlA23B ^KN"
25,2774138,SUPPORT_COMPLAINT,@115850 tomorrow I will file a case in Delhi court against  Order # 405-7739204-775556. Be ready,1,0.7027915716171265,881030,881029,"@115850 Order id:-407-0966184-7581950
Hope u deliver my order till 10pm as promised by ur executive.@115850 or so u in court","@328204 Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^NR 2/2"
26,2069828,ORDER_PRODUCT,"@AmazonHelp Yeah, make it so I can buy pantry items individually. No reason for this to be pantry only. https://t.co/TlXZE5fAEG",1,0.6971843838691711,780002,780004,@AmazonHelp Have been using Pantry as well :),@306237 What about Amazon Prime videos? ^SI
27,323292,DIGITAL_CONTENT,@AmazonHelp Je les ai toutes vu perso deux fois une fois en vostfr et une fois en vf,1,0.777796745300293,2628891,2628892,@AmazonHelp Déjà fait DEUX fois,"@742468 N'ayant pas accès à votre compte depuis Twitter, pour avoir une réponse immédiate, merci de joindre notre SAV par téléphone ou chat. ^MA"
28,425053,REFUND,@AmazonHelp Refunded HALF the order but no other insight. It’s still “wait until Wednesday” I guess there’s no point in being a Prime member if my packages don’t come on time.,1,0.8335363864898682,2640939,2640938,@AmazonHelp 3rd time my Prime order has been a date late. Guess I'll be requesting another refund (only needed item for an event) and rethinking this membership 😣,@376552 I'm sorry to hear this. Have you noticed a pattern with a specific carrier for the recent shipments? You can view this information here: https://t.co/RE7EVdCU1F ^GR
29,1380607,DELIVERY_DELAY,I love how twitch’s amazon store lets you pay extra for shipping for 2 - 3 days but then still says my order will be a week later 🙃,1,0.6886741518974304,991812,991818,@AmazonHelp Also they said they  can give me the order in 3-4 days then why I paid extra money for it and if you can't do that don't charge extra,"@354939 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ 2/2 ^NK"
30,1145003,ORDER_PRODUCT,"@AmazonHelp im sorry, Sold by iTekLife Global and Fulfilled by Amazon.",1,0.8625932931900024,823137,823139,@AmazonHelp Sold and fulfilled by Amazon.,@316081 Please reach out here so we can look into this for you Mike https://t.co/JzP7hlA23B ^KM
31,89225,OTHER,"Allez hop, direction @120533. Faisons-nous plaisir. https://t.co/zvNoZt5lll",1,0.5776572227478027,2614194,2614196,@AmazonHelp Pouvons nous parler via mp ? S'il vous plaît.,"@710343 Oui, vous pouvez initier la conversation directement en DM, s'il vous plait. ^SB"
32,2768262,OTHER,bonjours @AmazonHelp  je parle de vous dans ma derniere videos elle sort cette aprem soyer attentif 😁😁,1,0.7463444471359253,1750550,1750549,"Bonjour @AmazonHelp ! Si je m'abonne à Amazon Prime avec mon compte français, aurai-je accès aux vidéos sur mon compte dans d'autres pays ?","@527539 Bonjour, après vérifications je vous informe que ce ne sera pas accessible depuis d'autres pays car c'est lié à l'adresse IP. ^SA"
33,947272,SUPPORT_COMPLAINT,"@115850 Same issues and same support (no support)from ur contact centre, get into logs related to my queries.",1,0.7596950531005859,1516477,1516475,@115850 any update on my query?i still havent got any calls or solution.,"@215375 If you had reverted to our email, you must've received a correspondence from us, Vivek. Please check. ^HD"
34,1328913,OTHER,"@AmazonHelp Hey, I got an email finally showing me where to send these emails to. I appreciate the help. Now time to crack down. :-)",1,0.8809012174606323,974326,974328,@AmazonHelp I have already sent an email in this regard just now!,@351056 Thanks for getting in touch with us. Kindly wait till you receive an update. Appreciate your patience. ^AK
35,2429453,SUPPORT_COMPLAINT,@AmazonHelp Bonsoir en fait avant de laisser les clients subir il faudrait mieux sélectionner vos vendeurs et services de livraison,1,0.7997086048126221,527718,527716,Merci @AmazonHelp pour l'incompétence de votre service client (qui fait le travail que je peux mieux faire par moi même) et de prendre une société de livraison pas assez intelligente pour appeler le client pour avoir des informations sur le lieu de livraison.,"@242158 Bonjour, Désolé d'apprendre cela. Que dit le suivi actuel de votre colis?"
36,2410474,DELIVERY_DELAY,@116875 SOS Mi cuenta está bloqueada y mi pedido en espera. Esto significa que mi pedido no me llegará en la fecha esperada? ): #SuperSad,1,0.7860703468322754,1919931,1919928,Cuenta la leyenda que el micro me llegará algún día. No veas... pedir por @116928 es un suplicio no saber cuando llega el pedido xD,"@571577 Hola, ¿cuál es la fecha estimada de entrega de tu pedido? ^LG"
37,745054,ORDER_PRODUCT,@AmazonHelp https://t.co/r36ZS6leOZ it was this here sold by Smart Shop Online. Was prime delivery doesn't seem to be anymore though I also mailed them.,1,0.8542799353599548,1019613,1019614,"@AmazonHelp It was sold and shipped by  ""https://t.co/xcYIc5gBpI, Inc."" And prime eligible.","@314336 Thanks! To find the carrier, click Track Package next to the order: https://t.co/PyACxvY8Qo. It'll be near the tracking number. ^MB"
38,287905,SUPPORT_COMPLAINT,"@AmazonHelp As I mentioned, I have followed all those steps, but no revert back. What is the SLA to reply for simple query or even acknowledgment?",1,0.7169402837753296,219551,219550,"@AmazonHelp @115851 don't give a generic reply. Tell me the SLA? I can't keep on following for this issue forever. If u can't solve it,admit it here.",@168355 Kindly reply to the correspondence sent by us and we'll get in touch with an update. Appreciate your understanding. ^AK
39,181153,OTHER,"@AmazonHelp I tried to translate into German, but they do not say the reason for the lock.",1,0.590045690536499,1894036,1894035,"Prompte Lieferung in den @116316 Locker, aber dann keinen Code bekommen... Amazon Lockdown sozusagen.","@564618 Hast du bereits unter ""Mein Konto"" in der Sendungsverfolgung deiner Bestellung nachgesehen, ob dort der Abholcode angezeigt wird? Falls dort keiner ist, kontaktiere bitte unsere Kollegen im Kundenservice: https://t.co/ohyvGrpvrY Gruß ^VM"
40,2072980,DELIVERY_FAILURE,@AmazonHelp ele entrou em contato comigo. marcamos de nos encontrar em um lugar público pra ele me repassar a encomenda.,1,0.7798298597335815,2959978,2959977,@AmazonHelp Acabo de encontrar el correo electrónico. Gracias.,"@816939 Estamos para servirte, ¡saludos!"
41,535164,DELIVERY_FAILURE,"@115850 @115821 I got a product delivered today in a bad shape, not sealed and badly handled. I am not sure the phone is new one or refurbished one. Highly disappointing. Ordered replacement, hope they send a good one. https://t.co/LKQiRpVeXM",1,0.7702350616455078,348494,348493,@115850 I bought a new phone through amazon. You have sent me an used one and its a clear case of cheating. I Want refund not replacement,@198960 I understand your concern. We have a replacement only policy for damaged or defective mobile phone. ^SB
42,2741835,ORDER_CHANGE,Accidently canceled the order. Rescue me . Please @115850,1,0.7982420921325684,974800,974798,"@115850 @115851 
Order ID : 407-3954265-1967543
7th time my order got cancelled within a period of 30 days.",@351174 Please fill this form: https://t.co/beaaDm0muc and I’ll contact you at the earliest. (2/3) ^SI
43,230829,DELIVERY_DELAY,"全然Amazonの荷物届かないよ…
いつまで待ったらいいんた…📦",1,0.9093883037567139,1777852,1777851,amazonで予約すんの初めてなんだけどいつ支払い番号くんだよ,@534184 ご利用ありがとうございます。番号は、出荷準備がされ次第の発行となりますので、心待ちにされているところ恐れ入りますがお届け予定日を目安におまちくださいませ。なお、発行済みの場合は注文履歴、アカウントサービス内のメッセージセンターからもご確認ができます。SK
44,2551067,PAYMENT,"@AmazonHelp @115821 You are good at telling lies, not at fixing issues.
My account is still useless, tried loading my gift card, order rejected... Stop talking about these ""specialists"" they are incompetent. https://t.co/I327ny7rzz",1,0.7993387579917908,2946739,2946738,"@AmazonHelp I've been fighting with your support for over two months. Someone hacked my account and placed a $4,000 order for gift cards. I told my CC company to file a chargeback and now you've locked my account! I won't pay for a $4,000 fraudulent order! Amazon doesn't care.",@266928 I can confirm a member of our team is taking a look into this for you. Please keep an eye on your e-mail for a response from us. ^KP
45,149219,SUPPORT_COMPLAINT,"@AmazonHelp Super lange Geschichte, passt nicht in 240 Zeichen... Aber ich sag nur so viel beim Media Markt oder so wäre ich einmal hingegangen, hätte ein Ersatzgerät bekommen und hätte 30 min gebraucht. Bei euch Brauch ich in diesen Fall insgesamt bestimmt 8h 🙄",1,0.595327615737915,2311785,2311783,Vielen Dank @AmazonHelp das ich nur die ersten 60 Minuten meines Leihfilms schauen durfte.,"@670434 Hi, was ist denn vorgefallen? Gruß ^MI"
46,311574,OTHER,@AmazonHelp Thanks..  It helped,1,0.9691909551620483,1760505,1760506,@AmazonHelp Thanks does that help,"@529866 On the page that you sent, go ahead and click on the tracking number. What does it say who the carrier is there? ^MH"
47,676916,DELIVERY_TRACKING,@AmazonHelp the carrier was ontrac,1,0.9594860076904297,1482327,1482329,@AmazonHelp the carrier is ONTRAC,@352398 We'd like to take a closer look into this for you. Please contact us at: https://t.co/hApLpMlfHN  ^CC
48,1137938,ORDER_PRODUCT,"@132994 @120692 @115850 Bought  #OnePlus5   with 128GB space   on 8th October but next day offers change and offering more discount and freebies, feeling cheated 😚",1,0.7566090822219849,2939191,2939189,@115850 @132994 after buying the OnePlus 5T I didn't get any instant discount neither any cashback. Could you temme why? And when I had a word wid your @AmazonHelp they give me a time frame of 3 months!! Disgusting and pathetic service...,"@812377 Could you kindly share the name of the promotion, tied to your order. Will help us look into the same and guide you. ^CB"
49,2870625,DELIVERY_DELAY,"@AmazonHelp PLEASE  I PAY FOR PRIME. NOTHING, NOTHING IS EVER ON TIME LIARS",1,0.8084507584571838,1447215,1447214,@AmazonHelp I don’t think this is going to make it on time. So glad I pay for Prime. https://t.co/X5Kz8ypoLq,@455815 I'm sorry for the long wait! Is the item you're trying to order currently in stock/available on our site? ^WM
50,290449,DELIVERY_TRACKING,"Hey @AmazonHelp, waiting on a parcel being delivered to work. Leave for weekend in about an hour. Can you help give an update?",1,0.8340126276016235,2128852,2128849,"@AmazonHelp again parcel due for delivery today by 8pm, it’s not even been dispatched? Been waiting 4 week now, thank you",@383099 We're here to help! ! Items can be dispatched and delivered in the same day. Let us know if you don't receive it by 8:00 PM. ^HM
51,470840,ORDER_CHANGE,"Bonjour @115821, j’ai reçu ce mail. Après avoir appelé le service client il s’avère que la commande est annulée et que je ne pourrais profiter du tarif avantageux. Votre ligne fax est indisponible, que dois-je faire ?? https://t.co/gTU28BDiti",1,0.6883748769760132,2897642,2897640,"Je suis bluffé par les équipes du  service Client d'@120533.
1 réclamation par mail... et rappelé dans l'heure 👏👍👌

#serviceclient https://t.co/uZXviWeYAT",@802840 Cela nous va droit au coeur Pierre 😍😍😍! Nous restons toujours à votre disposition en cas de besoin. ^SA
52,1506840,TECHNICAL,Amazonのページだけなんか重い。ページにウイルスでも仕込まれてるんじゃないかって心配になるレベル,1,0.7761732339859009,1775039,1775038,Amazonプライムで映画観てるからもうほとんど外に出ないレベルだよ…,@533433 |ω・).｡oO( 気に入っていただけているようでうれしいです・・・！） SK
53,2958620,DELIVERY_DELAY,It's almost 8pm. The status page for my @122232 delivery still says that my @115830 delivery is arriving today. Does anyone want to take a bet that it'll be a no show? https://t.co/iSotLjItHG,1,0.8223212957382202,644821,644819,Still no sign of my delivery from @115830 despite it being out for delivery from 9am this morning. They have until 8pm to deliver it.,"@273041 I'm sorry your order hasn't arrived yet. If you don't receive your parcel by the time given, please reach out to us by phone at this link here: https://t.co/hApLpMlfHN ^VS"
54,25261,PRIME,@115850 I am a Prime customer. Is Amazon Video free for me or do I still need to pay some monthly subscription charges?,1,0.8196178674697876,2061609,2061607,@115850 kindly tell how to get free trial of your prime video? I am have Amazon account.,"@170593 Thanks for the interest in using Prime video application. However, the prime free trail is no longer available. You may purchase the prime membership and get unlimited free deliveries and also enjoy unlimited prime videos for Rs.999/-. ^MN"
55,384537,ORDER_PRODUCT,@AmazonHelp Certainly are. It literally will not allow me to check out with them in my basket,1,0.7594890594482422,2283505,2283504,"@AmazonHelp Yes, they are.","@504930 Thanks for confirming, Leigh! Please contact us by phone so that we can investigate further: https://t.co/JzP7hlA23B. Please keep us posted! ^SD"
56,1560589,DELIVERY_TRACKING,"@AmazonHelp How is that helpful? It’s gone to a locker, it says it’s delivered. I literally just need the collection code email!",1,0.8454760909080505,1179642,1179644,@AmazonHelp Agent has told their system said delivered to Locker but collection code has been provided to me or them,@235758 Was this parcel being delivered to one of our Amazon Lockers? Please double check your spam/junk folder for the e-mailed code! ^ML
57,833942,TECHNICAL,@119625 1/2 Please change your PS4 app. I love your content but rewinding and fastforwading is so difficult.,1,0.6402899026870728,687822,687821,@116618 your menu on the #PS4 is not easy to use at all!!! Create a better menu please,@284279 Thank you for your feedback. We will pass it on to the relevant department. ^BD
58,629631,DELIVERY_DELAY,"@AmazonHelp Nein, Ich habe mich entschieden nochmal bis Freitag zu warten, da ich von mehreren Leuten hörte das es wohl allgemein Grade Lieferschwierigkeiten geben soll.

Warscheinlich durch den Cyber Monday in Zusammenhang mit dem kommenden Weihnachtsgeschäft nehme ich an...",1,0.6607351303100586,2380858,2380856,@116316 sind die Angebote der Cyber monday Aktion schon alle gelistet ?darf man sich Hoffnungen auf ne hübsche Grafikkarte machen ? :),"@686475 Es sind nur für Heute Angebote gelistet, da kommen noch unendlich viele ;)
Behalte einfach die Angebotsseite im Auge :) ^AV"
59,792095,PAYMENT,"@AmazonHelp I'll keep an eye on it, I just hope it's not going to affect my credit rating...",1,0.7407665252685547,2435682,2435684,@AmazonHelp I spoke to someone on the phone they said they will credit my account but nothing has happened.,@406793 Did they offer a refund? Was the refund going to be onto your gift card balance or back to the original payment method? ^JF
60,2733901,DELIVERY_FAILURE,"@115821 I live in Indianapolis, not that far from where my order is....how is it logistically possible to do this? And the main question is why? https://t.co/EweZBHtIG9",1,0.6148133277893066,2414504,2414502,"If you live in an area small enough to NOT have @115821 delivery, consider yourself lucky. Every time I see them as the delivery method instead of @118706, @115817, or @81, I just cringe. #fb","@487280 Do you have a recent delivery issue with Amazon Logistics, Maureen? We'd like to help if at all possible. ^MT"
61,1557714,DELIVERY_FAILURE,@AmazonHelp merci de prendre en compte que le client il a pas envie d'être en galère pour récupérer un simple colis.,1,0.7956705689430237,1881605,1881606,@AmazonHelp Colis bien reçu https://t.co/fg1cr3GL6b,@561514 Ravie d'apprendre cela 😊 J'espère que vous êtes satisfait du contenu. ^MA
62,975699,DELIVERY_FAILURE,ずっと家にいるのにAmazonさんの配達案内が配達できませんでした。配達店で保管中ってなってるσ(￣＾￣)？ポストに不在届も入ってないし？私の荷物どこいった？このあと来るのかな？,1,0.7256240844726562,2268867,2268866,Amazonビデオのレンタルじゃなくて購入って何処に保存される？何度でも観られる権利ってこと？,@660254 Amazonビデオのレンタルは視聴制限がありますが、購入していただくとビデオライブラリに保存され、登録したデバイスでいつでも視聴できます。その他ご不明な点がありましたら、いつでもご遠慮なくお問い合わせ下さい。 EK
63,793818,SUPPORT_COMPLAINT,@AmazonHelp Sigo esperando su respuesta. Gracias de antemano,1,0.9025517702102661,1425017,1425015,"@AmazonHelp Sí, y aún estoy esperando una respuesta","@451070 Por favor, mantennos informados. ^HC"
64,836887,OTHER,@AmazonHelp Nothing except the golden day deal.,1,0.7919222116470337,42477,42478,@AmazonHelp Nothing at all.,"@125385 Our team would like to take a closer look at this for you, please send us your info via this link: https://t.co/QeZQd8r9dx ^SH"
65,2111167,DELIVERY_FAILURE,@AmazonHelp have spoken with Amazon contact centre to re-schedule the 2nd failed delivery.  How can I ensure driver calls me if he has propb finding me?,1,0.7489091157913208,1565842,1565844,"@AmazonHelp I have spoken with a colleague. But you are unable to contact driver who claims to have attempted delivery, to return.","@483371 When you spoke with us, did we provide a new delivery window for your order? ^KP"
66,2074021,SUPPORT_COMPLAINT,"@AmazonHelp 電話のブロックを確認次第解除しますと言われてから１週間たちますが連絡が来ず
メールも１週間以上経ちますが返事が来ず迷惑メールに振り分けられてるわけでもありません
Amazonメールは普通に来るのでこちら側の設定ではないと思うのですがどうすればいいでしょうか",1,0.7693223357200623,280399,280398,帰りたいが、Amazonで買った商品が届かない。時間指定では14時から16時なのに…。,@182814 大変ご不便をおかけしております。お調べしたうえで対応させていただきますので、お手数ですが、こちらよりカスタマーサービスにお問い合わせください。https://t.co/UvGMWgvqkg RI
67,1100553,ORDER_PRODUCT,"#BlackFriday dónde voy a encontrar el DVD de #Supernatural a 12 lucas en Chile? En ningún lado!, aquí lo venden a 50 lucas.  Y ojo más gastos de envío, xq el DVD sale 7 lucas. Gracias una vez más @115821 ❤",1,0.6826542615890503,78864,78863,Empiezo a temer que los auriculares que compré en el blackfriday en @116928 no van a llegar y Correos los devolverá.,"@133585 Hola, dinos ¿cómo te podemos ayudar? ^KA"
68,975729,ORDER_PRODUCT,@AmazonHelp But there are not change na....u may put a sake name seller but ur the marketer ur responsible for price,1,0.7055658102035522,1730754,1730756,@AmazonHelp But it will affect ur brand name...so u should have such a team who can check the real price of the product.,"@522975 I get your concern, Sachin. I’ll ensure to forward your feedback to appropriate team internally. ^NK"
69,807350,OTHER,Inquired many times no response. Why do I get this message when I try to sell? I do not have any seller account @115850 https://t.co/FF6pEngrqm,1,0.6984657049179077,385887,385885,"@115821
Hi there,
Every time I try 2 purchase on my account I get the a message.
We're sorry the store u selected is now closed.
Kevin Buss","@207358 To clarify, are you referring to a seller's account or buyer's account? ^NC"
70,2641334,OTHER,@AmazonHelp When will you announce the results.. after every one forgot about the game??,1,0.8227075338363647,464374,464375,"@AmazonHelp OK...
When result will be announced? Any date &amp; time?",@225416 We haven't made any announcement on that yet. Please stay tuned and we'll publish the results at the earliest. Aprreciate your understanding. ^SD
71,984115,OTHER,@115821 We want to add Arabic language in the site and application to make it easier for us to complete the purchases easily without,1,0.7556928396224976,73510,73512,@AmazonHelp We want to add Arabic to all your sites and applications. Can it happen?,@132437 You provide further feedback on this to us directly here: https://t.co/zNI8NNUGbo thank you ^MI
72,1209042,SUPPORT_COMPLAINT,@AmazonHelp You're providing worst Email and Call support in India. People are hanging up phone without any notification. If we ask something then they didn't listen. Not replacing my defective phone. Worst support in India,1,0.8229233026504517,2184563,2184562,@AmazonHelp why I am supposed to go through all the process just to return a defective phone in India.. Pathetic..,"@639857 Hi there. We'd like to help the best we can. Without giving any personal information, will you tell us more about what's going on? ^HC"
73,842234,OTHER,@AmazonHelp Je n'ai pas bougé ;),1,0.911777675151825,2834243,2834244,@AmazonHelp Je n'en ai pas le souvenir,@788974 Avez-vous vérifié cela avec notre SAV ? ^MA
